run_id,combo_id,name,target,field,value
01KXPMQEHK6WCFA17CG5BXHR0B,b8006268815a7f37,co.op-add__co.cat-undefined__co.vd-height__MACCITY.tax-cycle__MACCITY.tint-linear__MACCITY.map-bilinear,co,operation,add
01KXPMQEHK6WCFA17CG5BXHR0B,b8006268815a7f37,co.op-add__co.cat-undefined__co.vd-height__MACCITY.tax-cycle__MACCITY.tint-linear__MACCITY.map-bilinear,co,category,undefined
01KXPMQEHK6WCFA17CG5BXHR0B,b8006268815a7f37,co.op-add__co.cat-undefined__co.vd-height__MACCITY.tax-cycle__MACCITY.tint-linear__MACCITY.map-bilinear,co,vdist_method,height
01KXPMQEHK6WCFA17CG5BXHR0B,b8006268815a7f37,co.op-add__co.cat-undefined__co.vd-height__MACCITY.tax-cycle__MACCITY.tint-linear__MACCITY.map-bilinear,MACCITY,taxmode,cycle
01KXPMQEHK6WCFA17CG5BXHR0B,b8006268815a7f37,co.op-add__co.cat-undefined__co.vd-height__MACCITY.tax-cycle__MACCITY.tint-linear__MACCITY.map-bilinear,MACCITY,tintalgo,linear
01KXPMQEHK6WCFA17CG5BXHR0B,b8006268815a7f37,co.op-add__co.cat-undefined__co.vd-height__MACCITY.tax-cycle__MACCITY.tint-linear__MACCITY.map-bilinear,MACCITY,mapalgo,bilinear
01KXPMQEHK6WCFA17CG5BXHR0B,7c5ed1b8b70ca078,co.op-add__co.cat-undefined__co.vd-height__MACCITY.tax-cycle__MACCITY.tint-linear__MACCITY.map-consd,co,operation,add
01KXPMQEHK6WCFA17CG5BXHR0B,7c5ed1b8b70ca078,co.op-add__co.cat-undefined__co.vd-height__MACCITY.tax-cycle__MACCITY.tint-linear__MACCITY.map-consd,co,category,undefined
01KXPMQEHK6WCFA17CG5BXHR0B,7c5ed1b8b70ca078,co.op-add__co.cat-undefined__co.vd-height__MACCITY.tax-cycle__MACCITY.tint-linear__MACCITY.map-consd,co,vdist_method,height
01KXPMQEHK6WCFA17CG5BXHR0B,7c5ed1b8b70ca078,co.op-add__co.cat-undefined__co.vd-height__MACCITY.tax-cycle__MACCITY.tint-linear__MACCITY.map-consd,MACCITY,taxmode,cycle
01KXPMQEHK6WCFA17CG5BXHR0B,7c5ed1b8b70ca078,co.op-add__co.cat-undefined__co.vd-height__MACCITY.tax-cycle__MACCITY.tint-linear__MACCITY.map-consd,MACCITY,tintalgo,linear
01KXPMQEHK6WCFA17CG5BXHR0B,7c5ed1b8b70ca078,co.op-add__co.cat-undefined__co.vd-height__MACCITY.tax-cycle__MACCITY.tint-linear__MACCITY.map-consd,MACCITY,mapalgo,consd
01KXPMQEHK6WCFA17CG5BXHR0B,61352f20c04af00f,co.op-add__co.cat-undefined__co.vd-height__MACCITY.tax-cycle__MACCITY.tint-linear__MACCITY.map-conss,co,operation,add
01KXPMQEHK6WCFA17CG5BXHR0B,61352f20c04af00f,co.op-add__co.cat-undefined__co.vd-height__MACCITY.tax-cycle__MACCITY.tint-linear__MACCITY.map-conss,co,category,undefined
01KXPMQEHK6WCFA17CG5BXHR0B,61352f20c04af00f,co.op-add__co.cat-undefined__co.vd-height__MACCITY.tax-cycle__MACCITY.tint-linear__MACCITY.map-conss,co,vdist_method,height
01KXPMQEHK6WCFA17CG5BXHR0B,61352f20c04af00f,co.op-add__co.cat-undefined__co.vd-height__MACCITY.tax-cycle__MACCITY.tint-linear__MACCITY.map-conss,MACCITY,taxmode,cycle
01KXPMQEHK6WCFA17CG5BXHR0B,61352f20c04af00f,co.op-add__co.cat-undefined__co.vd-height__MACCITY.tax-cycle__MACCITY.tint-linear__MACCITY.map-conss,MACCITY,tintalgo,linear
01KXPMQEHK6WCFA17CG5BXHR0B,61352f20c04af00f,co.op-add__co.cat-undefined__co.vd-height__MACCITY.tax-cycle__MACCITY.tint-linear__MACCITY.map-conss,MACCITY,mapalgo,conss
01KXPMQEHK6WCFA17CG5BXHR0B,81640bc561c89aee,co.op-add__co.cat-undefined__co.vd-height__MACCITY.tax-cycle__MACCITY.tint-linear__MACCITY.map-cubic,co,operation,add
